duration_ms,explicit,genres,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
218133,t,['hip hop'],40,0.0452,0.74,0.899,0.0972,11.0,0.33,-7.221,1.0,0.321,89.0,4.0,0.777
320960,t,['hip hop'],43,0.00599,0.473,0.755,1.76e-06,3.0,0.367,-6.281,0.0,0.364,200.0,4.0,0.468
211840,t,['hip hop'],46,0.296,0.814,0.663,3.39e-06,1.0,0.16,-7.446,1.0,0.355,93.0,4.0,0.52
158400,t,['hip hop'],38,0.091,0.785,0.551,0.000434,11.0,0.227,-5.329,1.0,0.229,82.0,4.0,0.244
193400,t,['hip hop'],37,0.317,0.545,0.733,3.43e-06,10.0,0.0915,-8.382,0.0,0.88,199.0,4.0,0.785
253226,t,['hip hop'],59,0.219,0.683,0.902,0.000761,1.0,0.226,-7.389,0.0,0.291,90.0,4.0,0.724
339506,t,['hip hop'],41,0.0914,0.706,0.687,0.000162,9.0,0.083,-4.301,0.0,0.34,99.0,4.0,0.493
296533,t,['hip hop'],43,0.412,0.52,0.849,9.95e-06,3.0,0.385,-5.094,0.0,0.345,78.0,4.0,0.563
238480,t,['hip hop'],36,0.774,0.422,0.711,0.00202,1.0,0.375,-5.644,0.0,0.088,79.0,4.0,0.601
302520,t,['pop' 'r&b' 'rock'],40,0.0142,0.766,0.55,0.0452,1.0,0.123,-7.898,1.0,0.0758,107.0,4.0,0.356
42280,f,['pop' 'r&b' 'rock'],29,0.929,0.286,0.209,0.0303,3.0,0.115,-12.302,0.0,0.0333,130.0,4.0,0.145
215613,f,['pop' 'r&b' 'rock'],32,0.151,0.731,0.636,3.64e-05,9.0,0.707,-7.384,0.0,0.0725,120.0,4.0,0.342
142666,f,['pop' 'r&b' 'rock'],51,0.0206,0.677,0.551,0.269,7.0,0.088,-7.963,1.0,0.0293,107.0,4.0,0.246
147426,f,['pop' 'r&b' 'rock'],31,0.0635,0.685,0.524,0.708,8.0,0.135,-8.552,1.0,0.0418,120.0,4.0,0.405
172266,f,['pop' 'r&b' 'rock'],31,0.0249,0.787,0.666,1.29e-05,1.0,0.162,-7.697,1.0,0.0772,120.0,4.0,0.174
370320,f,['pop' 'r&b' 'rock'],31,0.0553,0.683,0.605,0.000112,11.0,0.117,-7.179,0.0,0.0404,120.0,4.0,0.31
146000,f,['pop' 'r&b' 'rock'],27,0.0274,0.646,0.724,0.109,1.0,0.353,-6.103,0.0,0.123,120.0,4.0,0.303
68000,f,['pop' 'r&b' 'rock'],25,0.341,0.493,0.584,0.527,1.0,0.16,-7.582,0.0,0.289,79.0,4.0,0.812
189146,f,['pop' 'r&b' 'rock'],26,0.261,0.438,0.621,0.000389,0.0,0.112,-5.339,0.0,0.0481,93.0,4.0,0.373
177306,f,['pop' 'r&b' 'rock'],26,0.0219,0.571,0.777,0.0155,3.0,0.178,-5.513,0.0,0.0791,120.0,4.0,0.477
230013,f,['pop' 'r&b' 'rock'],35,0.0323,0.826,0.805,0.000112,3.0,0.085,-5.784,0.0,0.0435,123.0,4.0,0.62
240133,f,['pop' 'r&b' 'rock'],28,0.0765,0.493,0.45,0.00454,4.0,0.185,-6.463,0.0,0.0977,114.0,4.0,0.114
177853,f,['pop' 'r&b' 'rock'],27,0.16,0.691,0.678,0.494,0.0,0.133,-7.312,1.0,0.042,156.0,4.0,0.575
157466,f,['pop' 'r&b' 'rock'],32,0.206,0.502,0.741,0.0305,1.0,0.371,-5.621,1.0,0.432,175.0,4.0,0.165
164386,f,['pop' 'r&b' 'rock'],26,0.284,0.626,0.771,0.00132,1.0,0.112,-5.799,1.0,0.163,79.0,4.0,0.646
26906,t,['hip hop' 'rap'],8,0.00845,0.7,0.386,0.00166,11.0,0.423,-11.737,0.0,0.106,85.0,4.0,0.941
219680,t,['hip hop' 'rap'],40,0.0305,0.799,0.705,4.23e-06,6.0,0.365,-11.768,0.0,0.294,105.0,4.0,0.705
229933,t,['hip hop' 'rap'],27,0.0313,0.622,0.888,1.11e-06,1.0,0.113,-5.53,1.0,0.384,186.0,4.0,0.527
236506,t,['hip hop' 'rap'],67,0.453,0.894,0.404,1.57e-06,9.0,0.0801,-5.913,0.0,0.13,102.0,4.0,0.759
250280,f,['hip hop' 'rap'],30,0.0611,0.681,0.568,0.0026,9.0,0.112,-6.083,0.0,0.0461,194.0,5.0,0.748
214280,t,['hip hop' 'rap'],32,0.136,0.913,0.292,0.000677,11.0,0.111,-9.975,0.0,0.399,99.0,4.0,0.731
213693,f,['hip hop' 'rap'],21,0.00015,0.349,0.945,0.00234,0.0,0.103,-5.61,1.0,0.0523,129.0,4.0,0.609
87200,t,['hip hop' 'rap'],19,0.00119,0.472,0.734,0.00188,1.0,0.096,-4.741,1.0,0.0548,168.0,4.0,0.629
190440,f,['hip hop' 'rap'],27,0.165,0.748,0.875,0.000298,10.0,0.13,-3.793,0.0,0.0352,116.0,4.0,0.893
234186,t,['hip hop' 'rap'],23,0.011,0.74,0.746,2.27e-05,8.0,0.131,-5.41,1.0,0.0608,91.0,4.0,0.704
154880,f,['hip hop' 'rap'],38,0.0868,0.412,0.553,1.38e-05,8.0,0.384,-6.689,1.0,0.0434,179.0,4.0,0.322
186720,f,['hip hop' 'rap'],32,0.0134,0.673,0.781,0.00129,0.0,0.117,-6.97,0.0,0.0423,135.0,4.0,0.274
200600,f,['hip hop' 'rap'],43,0.0171,0.713,0.573,1.47e-06,0.0,0.312,-6.11,1.0,0.0383,124.0,4.0,0.534
73853,f,['hip hop' 'rap'],26,0.793,0.284,0.414,0.94,7.0,0.229,-9.125,1.0,0.0271,76.0,3.0,0.61
189173,f,['hip hop' 'rap'],29,0.0956,0.708,0.7,0.000413,4.0,0.0539,-5.921,0.0,0.0412,155.0,4.0,0.51
219586,f,['hip hop' 'rap'],43,0.114,0.498,0.556,1.49e-05,0.0,0.32,-6.346,1.0,0.0404,174.0,4.0,0.452
218386,f,['hip hop' 'rap'],45,0.751,0.307,0.632,5.24e-06,9.0,0.0899,-7.115,1.0,0.185,170.0,4.0,0.193
200013,f,['hip hop' 'rap'],25,0.265,0.532,0.639,0.444,9.0,0.0916,-9.024,0.0,0.0488,120.0,4.0,0.184
203240,f,['hip hop' 'rap'],30,0.703,0.496,0.592,0.000185,3.0,0.121,-7.668,0.0,0.0462,117.0,4.0,0.392
157640,f,['hip hop' 'rap'],31,0.521,0.396,0.294,2.53e-06,0.0,0.351,-8.864,1.0,0.0357,129.0,1.0,0.377
238306,t,['hip hop'],73,0.194,0.598,0.252,0.133,2.0,0.0992,-15.086,1.0,0.0644,120.0,4.0,0.0352
105826,t,['hip hop'],53,0.123,0.556,0.501,0.000106,1.0,0.97,-11.429,1.0,0.371,104.0,4.0,0.382
255253,t,['hip hop'],59,0.49,0.898,0.598,0.0014,2.0,0.0646,-7.164,1.0,0.0467,120.0,4.0,0.528
222333,t,['hip hop'],58,0.0541,0.642,0.56,0.752,7.0,0.131,-15.123,1.0,0.0848,130.0,4.0,0.499
303000,t,['hip hop'],56,0.0162,0.7,0.642,2.94e-06,2.0,0.206,-8.673,0.0,0.317,150.0,4.0,0.381
199466,t,['hip hop'],53,0.106,0.466,0.443,0.612,1.0,0.159,-10.584,0.0,0.0975,101.0,4.0,0.116
226653,t,['pop' 'r&b' 'rap'],57,0.815,0.611,0.319,0.0151,5.0,0.108,-10.743,1.0,0.0357,125.0,4.0,0.176
208920,f,['pop' 'r&b' 'rap'],54,0.242,0.679,0.629,0.012,4.0,0.122,-7.981,0.0,0.0318,102.0,4.0,0.186
205786,f,['pop' 'r&b' 'rap'],55,0.509,0.643,0.597,9.9e-06,8.0,0.107,-8.451,1.0,0.12,120.0,4.0,0.375
104240,f,['pop' 'r&b' 'rap'],46,0.934,0.364,0.161,0.0712,9.0,0.11,-18.356,1.0,0.0332,118.0,4.0,0.21
201293,f,['pop' 'r&b' 'rap'],52,0.611,0.719,0.614,1.4e-05,9.0,0.108,-5.354,0.0,0.0327,96.0,4.0,0.69
212746,t,['pop' 'r&b' 'rap'],62,0.395,0.614,0.475,1.06e-06,7.0,0.265,-8.642,0.0,0.0362,100.0,4.0,0.422
245253,f,['pop' 'r&b' 'rap'],47,0.833,0.479,0.425,0.000834,0.0,0.0935,-12.537,1.0,0.0994,85.0,4.0,0.162
224320,f,['pop' 'r&b' 'rap'],48,0.925,0.222,0.184,0.000298,0.0,0.1,-13.235,1.0,0.0335,184.0,5.0,0.156
176333,t,['pop' 'r&b' 'rap'],48,0.233,0.504,0.458,0.00278,5.0,0.0977,-9.06,0.0,0.102,118.0,4.0,0.416
260799,t,['rap'],36,0.0303,0.766,0.793,8.09e-06,4.0,0.173,-6.638,0.0,0.166,92.0,4.0,0.652
252600,t,['rap'],42,0.02,0.708,0.832,2.8e-06,1.0,0.189,-4.964,1.0,0.318,92.0,4.0,0.618
276720,t,['rap'],24,0.0134,0.692,0.884,0.00198,7.0,0.157,-7.692,1.0,0.0672,92.0,4.0,0.884
216106,t,['rap'],21,0.0116,0.704,0.634,0.000624,11.0,0.299,-8.188,1.0,0.0393,91.0,4.0,0.557
58626,t,['r&b'],13,0.47,0.315,0.216,3.77e-05,1.0,0.235,-19.894,0.0,0.045,123.0,4.0,0.512
139400,f,['r&b'],21,0.682,0.454,0.27,0.00767,5.0,0.209,-10.884,0.0,0.0281,54.0,5.0,0.0686
127440,f,['r&b'],19,0.707,0.42,0.0773,8.13e-06,10.0,0.116,-16.789,1.0,0.033,67.0,3.0,0.101
342693,f,['r&b'],21,0.242,0.799,0.478,0.00016,4.0,0.0945,-9.606,0.0,0.0574,119.0,4.0,0.515
312706,f,['r&b'],25,0.124,0.756,0.403,1.56e-05,1.0,0.248,-9.904,1.0,0.0452,122.0,4.0,0.7
291093,t,['hip hop' 'rap'],20,0.014,0.745,0.8,0.000791,4.0,0.0766,-5.272,0.0,0.32,89.0,4.0,0.577
246626,t,['hip hop' 'rap'],25,0.0487,0.843,0.836,0.246,1.0,0.193,-4.065,0.0,0.154,88.0,4.0,0.299
211400,t,['hip hop' 'rap'],56,0.211,0.92,0.861,2.59e-05,7.0,0.0288,-5.435,1.0,0.218,98.0,4.0,0.718
315466,t,['hip hop' 'rap'],22,0.432,0.838,0.671,8.31e-05,1.0,0.107,-8.304,1.0,0.334,170.0,4.0,0.692
271133,t,['hip hop' 'rap'],17,0.007,0.919,0.672,1.39e-05,1.0,0.101,-6.575,1.0,0.187,101.0,4.0,0.571
309533,t,['hip hop' 'rap'],28,0.124,0.847,0.474,9.42e-05,1.0,0.155,-8.07,1.0,0.143,84.0,4.0,0.642
237533,t,['hip hop' 'rap'],23,6.72e-05,0.74,0.543,0.0967,8.0,0.157,-5.299,1.0,0.138,166.0,4.0,0.327
290866,t,['hip hop' 'rap'],17,0.237,0.832,0.631,0.575,6.0,0.118,-7.782,0.0,0.157,90.0,4.0,0.437
91920,t,['pop' 'r&b'],39,0.67,0.423,0.707,6.05e-06,9.0,0.756,-10.175,1.0,0.394,108.0,4.0,0.615
223480,t,['pop' 'r&b'],38,0.309,0.634,0.562,2.08e-06,10.0,0.11,-8.923,0.0,0.163,181.0,4.0,0.307
78521,t,['pop' 'r&b'],34,0.602,0.596,0.407,0.351,6.0,0.111,-9.172,0.0,0.175,100.0,4.0,0.66
205373,t,['hip hop' 'rap'],40,0.000821,0.651,0.811,1.44e-05,11.0,0.304,-4.99,0.0,0.0841,144.0,4.0,0.159
217586,t,['hip hop' 'rap'],32,0.0203,0.634,0.674,3.14e-05,4.0,0.305,-5.663,1.0,0.0585,150.0,4.0,0.591
193533,t,['hip hop' 'rap'],33,0.0251,0.74,0.547,4.7e-06,5.0,0.1,-8.967,1.0,0.322,180.0,4.0,0.733
228160,t,['hip hop' 'rap'],21,0.04,0.907,0.896,1.73e-05,1.0,0.131,-2.755,1.0,0.0556,130.0,4.0,0.356
207133,t,['hip hop' 'rap'],52,0.0281,0.562,0.682,4.5e-05,0.0,0.125,-5.883,1.0,0.0898,174.0,4.0,0.385
203333,t,['hip hop'],50,0.044,0.717,0.726,1.12e-06,2.0,0.0931,-6.227,1.0,0.333,144.0,4.0,0.419
256191,t,['hip hop'],33,0.366,0.69,0.867,1.81e-06,5.0,0.101,-6.499,0.0,0.052,101.0,4.0,0.719
235989,t,['hip hop'],32,0.2,0.745,0.678,3.15e-05,1.0,0.103,-6.852,1.0,0.302,170.0,4.0,0.626
288556,t,['hip hop'],35,0.0185,0.747,0.659,2.62e-06,1.0,0.117,-9.158,1.0,0.262,97.0,4.0,0.434
212530,t,['hip hop'],32,0.0394,0.403,0.683,0.00125,11.0,0.0594,-9.091,1.0,0.257,166.0,4.0,0.573
240613,t,['hip hop'],32,0.00784,0.585,0.762,0.000381,11.0,0.13,-7.099,0.0,0.286,140.0,4.0,0.271
339689,t,['hip hop'],33,0.145,0.827,0.413,4.83e-06,10.0,0.493,-11.982,0.0,0.254,120.0,3.0,0.346
249514,t,['hip hop'],31,0.0721,0.741,0.686,2.71e-06,1.0,0.714,-7.839,1.0,0.108,134.0,4.0,0.355
104400,f,['pop'],26,0.893,0.354,0.268,0.523,10.0,0.587,-12.66,1.0,0.0292,60.0,4.0,0.281
283400,t,['pop'],45,0.019,0.772,0.685,8.96e-05,5.0,0.131,-6.849,1.0,0.0696,130.0,4.0,0.501
313920,t,['pop'],22,0.014,0.651,0.704,5.14e-05,7.0,0.261,-4.589,1.0,0.0485,130.0,4.0,0.357
214186,f,['pop'],30,0.0778,0.699,0.569,1.93e-05,2.0,0.277,-3.436,1.0,0.216,160.0,4.0,0.478
246573,t,['pop'],21,0.0105,0.928,0.568,1.64e-05,2.0,0.105,-7.79,1.0,0.237,142.0,4.0,0.716
279506,f,['pop'],67,0.00112,0.797,0.608,7.66e-05,6.0,0.0748,-6.096,0.0,0.0584,128.0,4.0,0.402
239346,t,['pop'],22,0.219,0.696,0.737,0.000824,11.0,0.365,-6.658,0.0,0.0734,100.0,4.0,0.561
307493,f,['pop'],42,0.00994,0.619,0.621,0.00332,0.0,0.121,-5.465,0.0,0.0357,127.0,4.0,0.338
261320,f,['pop'],22,0.0418,0.518,0.776,2.37e-06,11.0,0.415,-3.951,0.0,0.0533,129.0,4.0,0.535
279066,f,['pop'],52,0.0249,0.805,0.657,2.27e-05,7.0,0.0391,-7.643,1.0,0.108,125.0,4.0,0.716
249200,t,['hip hop' 'rap'],24,0.428,0.726,0.556,4.09e-05,5.0,0.137,-8.543,0.0,0.212,160.0,4.0,0.736
218813,t,['hip hop' 'rap'],32,0.0151,0.559,0.571,1.05e-05,5.0,0.167,-6.798,0.0,0.0657,131.0,4.0,0.22
404212,f,,42,0.02,0.817,0.725,0.00142,8.0,0.0966,-7.798,0.0,0.0403,113.0,4.0,0.639
407826,f,,44,0.137,0.826,0.885,0.0116,2.0,0.0797,-9.575,0.0,0.0574,113.0,4.0,0.558
384893,f,,38,0.11,0.819,0.811,0.134,8.0,0.0552,-7.423,0.0,0.0427,112.0,4.0,0.308
477328,f,,34,0.0371,0.801,0.856,0.000546,11.0,0.0591,-8.944,0.0,0.0505,113.0,4.0,0.535
433313,f,,34,0.0164,0.927,0.805,0.00661,11.0,0.129,-8.435,0.0,0.062,113.0,4.0,0.497
450304,f,,47,0.0379,0.805,0.743,0.14,10.0,0.201,-8.641,0.0,0.0395,113.0,4.0,0.485
416658,f,,30,0.071,0.759,0.838,0.0406,11.0,0.0571,-7.784,0.0,0.0424,113.0,4.0,0.275
455940,f,,42,0.0334,0.802,0.868,0.74,1.0,0.111,-9.162,0.0,0.0721,113.0,4.0,0.368
435049,f,,37,0.016,0.756,0.659,0.0277,7.0,0.0595,-7.84,0.0,0.0453,113.0,4.0,0.517
416321,f,,36,0.0448,0.775,0.727,0.00838,11.0,0.137,-9.187,0.0,0.047,113.0,4.0,0.182
416341,f,,32,0.099,0.827,0.426,0.236,10.0,0.104,-15.334,0.0,0.0929,113.0,4.0,0.512
450326,f,,36,0.049,0.887,0.628,0.000236,1.0,0.176,-14.126,1.0,0.0717,113.0,4.0,0.283
436906,f,,30,0.0163,0.896,0.722,0.000344,1.0,0.118,-6.813,1.0,0.0409,112.0,4.0,0.719
450309,f,,47,0.202,0.811,0.449,0.00978,0.0,0.0532,-15.665,1.0,0.0661,113.0,4.0,0.528
265213,t,['hip hop' 'rap'],63,0.00761,0.861,0.448,0.000408,2.0,0.0902,-8.256,1.0,0.111,125.0,4.0,0.0487
